"","day1","day2","day3","day4","day5","day6","day7","day8","day9","day10","day11","day12","day13","day14"
"F960",0.303704349617002,0.38419380028297,0.471568025054614,0.560719779313297,0.64611790838469,0.723112334014489,0.788829971503581,0.842350454201475,0.884295945582511,0.916191470240319,0.93989217076417,0.957203493282213,0.969689860530334,0.978614579409172
"M793",0.309492282844847,0.390655064812915,0.478357269923754,0.56741433811253,0.652317997792084,0.728530236665474,0.793329488344234,0.845932312027297,0.887052572182976,0.918258435389802,0.941411985926581,0.958305012519969,0.97047991037127,0.979176997140353
"F627",0.315339979468865,0.39715426171487,0.485153841510338,0.574083704896695,0.658466268824919,0.733880610651454,0.797757273593393,0.849446986500856,0.889751444313002,0.920278659544236,0.942895561350357,0.959379277561297,0.971249901854538,0.979724876268552
"M689",0.323329258686131,0.405987220055001,0.494339071571021,0.583045904861011,0.666683795570817,0.740997345653299,0.803622878789432,0.854087643993363,0.893305798364097,0.922934077566487,0.944842790420448,0.960787796677764,0.97225871050719,0.980442295766516
"F588",0.327913776896764,0.411031833434659,0.499558250355715,0.588112371641689,0.671306905098084,0.744983992782944,0.806896779557082,0.856670275283084,0.89527938430407,0.92440598931611,0.945920777840052,0.961566832379358,0.972816299412029,0.980838639577376
"F571",0.331509511458534,0.414976240168825,0.503625755432743,0.592047892559706,0.674886948138879,0.74806272626978,0.809419270960145,0.858656472425501,0.896795010169099,0.925535127078622,0.946747065071908,0.962163622673254,0.973243268687768,0.981142046066808
"F578",0.331683427996933,0.41516675024307,0.503821914401629,0.59223740027161,0.675059094590219,0.74821058199598,0.809540285994069,0.858751678662928,0.896867612558453,0.925589189015749,0.946786612435202,0.96219217840195,0.973263694787967,0.981156558985394
"F773",0.331729477129838,0.415217188787138,0.503873843951288,0.592287564618971,0.675104659514632,0.748249714640368,0.809572312822798,0.858776873920259,0.896886825235316,0.925603494948726,0.946797077284489,0.962199734577693,0.973269099710678,0.981160399199038
"F926",0.335504495619784,0.419346100934134,0.508118333052635,0.596381552884561,0.678818004250537,0.751434863590409,0.812176360140114,0.860823735566093,0.898446646673242,0.926764382898155,0.947645964597321,0.962812515181753,0.973707338144808,0.981471727014203
"M520",0.338896396921242,0.423045993735095,0.51191095248203,0.600029324931952,0.682117858974802,0.754258734051244,0.814480533597016,0.862632054274673,0.899823017867728,0.927787805993946,0.948393829392625,0.963352107881868,0.974093099955033,0.981745706571347
"F961",0.341574520613283,0.425960643039879,0.514891461168988,0.602889161845363,0.684699177364693,0.756463394181039,0.816276517456499,0.864039704464438,0.90089334605655,0.928583061963324,0.948974636441874,0.963770996435123,0.974392481491998,0.981958292105696
"M580",0.342228689616827,0.426671696777036,0.515617623289929,0.60358501421086,0.685326497961549,0.756998606681426,0.816712130217998,0.864380884942438,0.901152625499603,0.928775627673496,0.949115232119819,0.963872374230278,0.974464925192457,0.982009727296579
"F570",0.344587533579998,0.42923276396119,0.518229998824476,0.606085409186135,0.687578179587383,0.758917842108038,0.818272963979819,0.86560258382018,0.902080598211004,0.929464575282743,0.94961810881572,0.964234906771897,0.974723951274722,0.982193617917428
"F765",0.348863790137627,0.433864095886499,0.522941792509675,0.610583625972847,0.691619298428105,0.762355127214663,0.821063511717603,0.867783784431115,0.903735618459478,0.930692315760897,0.950513733433498,0.964880302316044,0.975184938966362,0.982520815893764
"F622",0.349657824214359,0.434722430825328,0.523813301632489,0.61141399975834,0.692363937249183,0.762987495253951,0.821576220567021,0.868184116703137,0.90403913117978,0.930917333391778,0.950677808311283,0.964998497953997,0.975269343147988,0.982580714047383
"M569",0.351541448727288,0.436756553112216,0.52587648051181,0.613377771739594,0.694123277054202,0.764480335911596,0.822785747017529,0.869128019713755,0.904754451851815,0.931447488981946,0.951064289283999,0.965276862842184,0.975468101139435,0.982721752259339
"M582",0.354718845715213,0.440181333792288,0.529343321583782,0.61667117921144,0.697068559294189,0.766975583860156,0.824804833125847,0.870702079598536,0.905946385767622,0.932330361889601,0.951707620229161,0.96574007954046,0.975798772382654,0.982956358158495
"M803",0.355452149056806,0.440970576405151,0.530141039211005,0.617427857428152,0.697744321967938,0.767547404957198,0.825267075950671,0.871062155638541,0.906218883024394,0.932532110795114,0.951854581449644,0.965845870295258,0.975874278963739,0.983009922261803
"F512",0.361489683754123,0.447452291997648,0.536675166347865,0.623609941980724,0.703252325525596,0.772198679995301,0.829020681883636,0.873982214238572,0.908426449237521,0.93416527333137,0.953043566208286,0.966701417833532,0.976484734908504,0.983442887547459
"M841",0.364620989768525,0.450802501974404,0.540040497730486,0.626782950557513,0.706070392126158,0.774571877534501,0.830931523733414,0.875466054271071,0.909546688989386,0.934993176235877,0.953645845811242,0.96713455811257,0.976793670997367,0.983661939129483
"F577",0.364795119280709,0.450988575501928,0.54022717288556,0.62695873925006,0.706226339385472,0.774703077546754,0.831037077452456,0.875547968282338,0.909608500517358,0.935038840777108,0.953679056769511,0.967158437743012,0.976810700711354,0.983674012880298
"M568",0.3677275364333,0.454118518053047,0.543363486795692,0.629908727378492,0.708840589921511,0.776900463847117,0.832803602422118,0.876918050953594,0.910641882735329,0.935802014686239,0.95423396099997,0.967557358193387,0.977095153540394,0.983875666230453
