"Date","Roost","Group","Age","Sex","Band","ID","switch_w","potential","n.days","switch_w","potential","n.days"
3802.16666666667,"R48",9,"A","M",568,"M568",3,3,4,0,1,0
3802.16666666667,"R48",9,"A","M",631,"M631",3,3,4,0,1,0
3802.16666666667,"RCA",11,"A","F",512,"F512",1,3,2,0,1,0
3802.16666666667,"RCA",11,"A","F",524,"F524",3,3,4,0,1,0
3802.16666666667,"RCA",11,"A","M",530,"M530",3,3,4,0,1,0
3803.16666666667,"R48",9,"A","F",517,"F517",1,3,2,0,1,0
3803.16666666667,"R48",9,"A","F",518,"F518",0,1,1,0,1,0
3803.16666666667,"R48",9,"A","F",519,"F519",1,1,1,0,1,0
3803.16666666667,"R48",9,"A","F",538,"F538",1,3,2,0,1,0
3803.16666666667,"R48",9,"A","F",540,"F540",1,3,2,0,1,0
3803.16666666667,"R48",9,"A","F",542,"F542",0,1,1,0,1,0
3803.16666666667,"R48",9,"A","M",568,"M568",0,1,1,0,1,0
3803.16666666667,"R48",9,"A","M",631,"M631",0,1,1,0,1,0
3803.16666666667,"RCA",11,"A","M",530,"M530",0,1,1,0,1,0
3803.16666666667,"RPO",13,"A","F",514,"F514",1,1,1,0,1,0
3803.16666666667,"RPO",13,"A","M",520,"M520",1,3,6,0,1,0
3804.16666666667,"R3A",4,"A","M",533,"M533",3,3,3,0,1,0
3804.16666666667,"R3A",4,"A","M",539,"M539",3,3,3,0,1,0
3804.16666666667,"R3A",4,"A","M",593,"M593",3,3,2,0,1,0
3804.16666666667,"R48",9,"A","F",514,"F514",1,1,1,0,1,0
3804.16666666667,"R48",9,"A","M",568,"M568",0,1,2,0,1,0
3804.16666666667,"R48",9,"A","M",631,"M631",0,1,2,0,1,0
3804.16666666667,"RPO",13,"A","F",516,"F516",1,3,2,0,1,0
3804.16666666667,"RPO",13,"A","F",518,"F518",1,1,2,0,1,0
3804.16666666667,"RPO",13,"A","F",538,"F538",1,1,1,0,1,0
