"","scale.rs.","scale.cs.","scale.ps."
"X34",0.0282283462881087,0.011167145686406,0.0161613473111734
"X35",0.0337755535107881,0.0126047571001318,0.0169859792341731
"X36",0.0341818864917437,0.00785471538611728,0.0181689662883792
"X37",0.0372174041053768,0.0129847577925364,0.0249503067778942
"X38",0.0373691436595746,0.0150682954795417,0.023465497003649
"X39",0.0336300963335466,0.0093936110454976,0.0249312211031626
"X40",0.03030156859818,0.00794517346032892,0.0224363496846361
"X41",0.0348456650672384,0.0148307785751369,0.0214983540748755
"X42",0.0224909355907194,0.00440551342337787,0.026691611873363
"X43",0.0294231835131162,0.00564416073043019,0.0162128309062922
"X44",0.036623769261444,0.0166368364745727,0.020489143883379
"X45",0.0315788293240033,0.0104377996626171,0.0152595889643557
"X46",0.0378146786275179,0.0153402259083875,0.0239802666920279
"X47",0.025538268835482,0.00577683576499818,0.00859214042277614
"X48",0.0306597595437397,0.013628657751791,0.0179489877599545
"X49",0.02919253232711,0.00844622491265318,0.0153498146141874
"X50",0.0363052263718373,0.0189831549906924,0.0262930519024669
"X51",0.0315523920765844,0.0161262736408537,0.017635640968655
"X52",0.0244529764346487,0.0112231656815221,0.0252796897890852
"X53",0.0284051816150086,0.0179764036474189,0.0171308856662766
"X54",0.0288751145249478,0.0099702082818892,0.0198367596005359
"X55",0.0288167123487552,0.0144779797484688,0.0150522403516948
"X56",0.0302430586216845,0.0102450421188369,0.0156852809238542
"X57",0.0382149565946649,0.0149170692468246,0.0244295487023864
"X58",0.0317136177396209,0.0115655532472837,0.0241782764527311
"X59",0.0295637659810485,0.0103816845410311,0.0191250996910634
"X60",0.0342221789040769,0.00457296470876717,0.013693840423963
"X61",0.034635405007574,0.0156971489944109,0.0257723849583461
"X62",0.0323386376168029,0.012212694569733,0.0193914230932282
"X63",0.0272845181308341,0.009539139928532,0.022675912293527
"X64",0.0371529975273788,0.00859605888126906,0.0184535143114181
"X65",0.0323321813808914,0.00814366289596494,0.0213259868689217
"X66",0.0312325422236206,0.0102933800784799,0.0174845903350801
"X67",0.0262983185017818,0.0104492537539408,0.0185162908873108
"X68",0.0271035266566489,0.0117198532477147,0.0223655534466186
"X69",0.0369999586264162,0.0106711249832721,0.0207072614556168
"X70",0.0321332745084393,0.0121946070963624,0.0186002989644188
"X71",0.0281675705783168,-0.00307019694740744,0.0133129815907471
"X72",0.0256596991384867,0.00431068153403251,0.0177027979576675
"X73",0.0354449527118737,0.0111093386625675,0.0122208144065318
"X74",0.0312945094387036,0.00950291725905952,0.0256615925044094
"X75",0.0347736829363416,0.00609464247808941,0.0191497662261239
"X76",0.0322926587101388,0.00829932322370491,0.0146856670109579
"X77",0.0373390411553087,0.0190358343825966,0.00975284231431979
"X78",0.0334422819048294,0.00678321683282075,0.0210215278677432
"X79",0.0298960204717611,0.00500275023266286,0.0118333305204358
"X80",0.0361863325183231,0.0119823248549251,0.0227067011859946
"X81",0.0407678958737213,0.00494122933291232,0.0173396003300861
"X82",0.0272729684865349,0.00761570510464313,0.0207506210643446
"X83",0.027755379850911,0.00819102260636223,0.0263300868942478
"X84",0.027841021276258,0.0127475910837944,0.0104786731069933
"X85",0.0305463596812636,0.0161747809311147,0.0220073575420285
"X86",0.0304628891181606,0.0249029636297766,0.0295486716905199
"X87",0.0273614767441224,0.00741769316621895,0.0146272916305019
"X88",0.0290312703449792,0.00954759031267796,0.0225796065443796
"X89",0.0357506463549508,0.0126341131320149,0.022038637134315
"X90",0.030122730211525,0.00572434379302235,0.0186565166036263
"X91",0.0338828639325449,0.0108926534897784,0.0197547298717443
"X92",0.0301763656236034,0.00250820348413404,0.0177711795486708
"X93",0.0326293221179665,0.0117813913317119,0.0203425332462631
"X94",0.0285310567015018,0.00712220855990511,0.0192990373762336
"X95",0.0279871121919739,0.00584050211379142,0.0107806933334639
"X96",0.0291025968857562,0.0153018231869228,0.0265096549085134
"X97",0.0278394638428939,0.0199842326207963,0.0156349485198808
"X98",0.0296990316237616,0.0219626715371421,0.0294274599910915
"X99",0.0323075184087467,0.00173706969503459,0.0159928720043906
"X100",0.0353446966863766,0.0116987215197951,0.0167314030323526
