"","scale.rs.","scale.cs.","scale.ps."
"X78",0.0255122913951174,0.006242927370329,0.0403446468577269
"X79",0.0303229574540163,0.0103771950199631,0.0224897093091985
"X80",0.034003205996809,0.0208031700656858,0.0359819285066972
"X81",0.0335910127343171,0.00722938791492797,0.026062908765561
"X82",0.0294686729351547,-0.00293856970046897,0.0311874655410301
"X83",0.0286617963549172,0.00571073087450031,0.023861596206993
"X84",0.0449652937029277,0.0173873656872347,0.0450382126826908
"X85",0.0351097669502511,0.0105336649406277,0.0347347663452245
"X86",0.037090080733989,0.0176423135120718,0.0339691900785988
"X87",0.0308334034662855,0.00713113611300132,0.0277041047916283
"X88",0.0361382766943823,0.00728032416205726,0.0471870548577121
"X89",0.031466211182481,0.0189187388591826,0.0310855786461348
"X90",0.0224396848725495,0.00262993149189417,0.0305573383417479
"X91",0.027586071149523,0.0146494008454493,0.0323247523922735
"X92",0.0381493272791837,0.0148548394017593,0.0230376266274141
"X93",0.0317603353239351,0.0178634820306719,0.0416904699871908
"X94",0.0316033581559651,0.00219955628596117,0.0293663364759898
"X95",0.0158487742398615,0.0212796182854645,0.0481075477465682
"X96",0.0479924376908984,0.00909840791171323,0.0264026320548642
"X97",0.0301979212188864,0.0104775569419067,0.035747515438943
"X98",0.0375506386192057,0.0077819050341658,0.0363239064205223
"X99",0.046866919376741,0.0097785175269445,0.0365329715068723
"X100",0.0293469918191279,0.0040247557411739,0.0314161953729906
