"","scale.rs.","scale.cs.","scale.ps."
"X61",0.027563435099972,0.0356749161253404,0.01858118166699
"X62",0.0313016233550616,0.0259712561692389,0.0136173166224396
"X63",0.0407607841714769,0.0378765849552985,0.0168291354308416
"X64",0.0254797159612282,0.0376756511839472,0.0208753993865013
"X65",0.02914916434493,0.0299085604128055,0.0175155962348745
"X66",0.0332100437201401,0.0360398876321603,0.0200138199593731
"X67",0.0263006086607973,0.0331513834960145,0.0151917152488508
"X68",0.0318619147291968,0.0344694872476472,0.0150342335622489
"X69",0.0278104152341294,0.0322478480930802,0.015960381035139
"X70",0.0332113169485168,0.0238836517463353,0.0195141560574541
"X71",0.0318307855623064,0.0396028064491948,0.0172835397070413
"X72",0.0331258102976251,0.0366490014508256,0.0203712006021962
"X73",0.0247547984962767,0.0267913557213134,0.0198214487968628
"X74",0.0233723173980922,0.0450069176733941,0.0232960821430892
"X75",0.0268012759364708,0.0472202947033994,0.0219340164067927
"X76",0.0266965899898466,0.0328135441521787,0.0150666956883221
"X77",0.0320556660168838,0.040053314601575,0.0152045395543292
"X78",0.0302143181968659,0.0335988602690205,0.0178100434951399
"X79",0.0339502388189844,0.0353454967671571,0.0190389575723725
"X80",0.0207377653314515,0.033859851261404,0.018872533948655
"X81",0.025779529033051,0.0439118832811969,0.0153389764602431
"X82",0.0317935709063403,0.0235678880829687,0.0204610389950292
"X83",0.031447194634102,0.0316722805960827,0.0233033938336089
"X84",0.0361297018202106,0.0324518833813733,0.0207479524986917
"X85",0.0304092486878528,0.0352327557381136,0.0165618656361786
"X86",0.0337357319584443,0.0355980135819593,0.0163598253139648
"X87",0.0310554259865907,0.0423715314927812,0.0127764703664593
"X88",0.0331928828071044,0.0371704158164154,0.015680034195973
"X89",0.0278563988355474,0.036602740314354,0.0155833168127892
"X90",0.0352905148566413,0.0325855401680896,0.0208401818370004
"X91",0.0291843192856495,0.0379096192509302,0.010036539835497
"X92",0.0253532296672424,0.0310139407552015,0.0181368124452963
"X93",0.0349925331119596,0.030423260899061,0.0191484443237587
"X94",0.0383161556037026,0.0324607660271852,0.0182668311915865
"X95",0.0267217732830017,0.0359960897215432,0.0213280403338346
"X96",0.0291480361364956,0.0245248380503209,0.0101441414303073
"X97",0.0234835206727154,0.0372196218825127,0.0217739673837269
"X98",0.0310200946655988,0.030747686327436,0.0210641528973947
"X99",0.0325040302899388,0.0330618930069368,0.00932993503573226
"X100",0.0343098375577731,0.0370244306341659,0.0112377776540153
